Time,Amplitude,Frequency
0,10,110
15000,9.95,109.95
30000,9.9,109.9
45000,9.85,109.85
60000,9.8,109.8
75000,9.75,109.75
90000,9.7,109.7
105000,9.65,109.65
120000,9.6,109.6
135000,9.55,109.55
150000,9.5,109.5
165000,9.45,109.45
180000,9.4,109.4
195000,9.35,109.35
210000,9.3,109.3
225000,9.25,109.25
240000,9.2,109.2
255000,9.15,109.15
270000,9.1,109.1
285000,9.05,109.05
300000,9,109
315000,8.95,108.95
330000,8.9,108.9
345000,8.85,108.85
360000,8.8,108.8
375000,8.75,108.75
390000,8.7,108.7
405000,8.65,108.65
420000,8.6,108.6
435000,8.55,108.55
450000,8.5,108.5
465000,8.45,108.45
480000,8.4,108.4
495000,8.35,108.35
510000,8.3,108.3
525000,8.25,108.25
540000,8.2,108.2
555000,8.15,108.15
570000,8.1,108.1
585000,8.05,108.05
600000,8,108
615000,7.95,107.95
630000,7.9,107.9
645000,7.85,107.85
660000,7.8,107.8
675000,7.75,107.75
690000,7.7,107.7
705000,7.65,107.65
720000,7.6,107.6
735000,7.55,107.55
750000,7.5,107.5
765000,7.45,107.45
780000,7.4,107.4
795000,7.35,107.35
810000,7.3,107.3
825000,7.25,107.25
840000,7.2,107.2
855000,7.15,107.15
870000,7.1,107.1
885000,7.05,107.05
900000,7,107
915000,6.95,106.95
930000,6.9,106.9
945000,6.85,106.85
960000,6.8,106.8
975000,6.75,106.75
990000,6.7,106.7
1005000,6.65,106.65
1020000,6.6,106.6
1035000,6.55,106.55
1050000,6.5,106.5
1065000,6.45,106.45
1080000,6.4,106.4
1095000,6.35,106.35
1110000,6.3,106.3
1125000,6.25,106.25
1140000,6.2,106.2
1155000,6.15,106.15
1170000,6.1,106.1
1185000,6.05,106.05
1200000,6,106
1215000,5.95,105.95
1230000,5.9,105.9
1245000,5.85,105.85
1260000,5.8,105.8
1275000,5.75,105.75
1290000,5.7,105.7
1305000,5.65,105.65
1320000,5.6,105.6
1335000,5.55,105.55
1350000,5.5,105.5
1365000,5.45,105.45
1380000,5.4,105.4
1395000,5.35,105.35
1410000,5.3,105.3
1425000,5.25,105.25
1440000,5.2,105.2
1455000,5.15,105.15
1470000,5.1,105.1
1485000,5.05,105.05
1500000,5,105
1515000,4.95,104.95
1530000,4.9,104.9
1545000,4.85,104.85
1560000,4.8,104.8
1575000,4.75,104.75
1590000,4.7,104.7
1605000,4.65,104.65
1620000,4.6,104.6
1635000,4.55,104.55
1650000,4.5,104.5
1665000,4.45,104.45
