Time,Amplitude,Frequency
0,100.0,80.0
1000000000,100.0,80.0
1000007500,99.75031224,79.97503122
1000015000,99.50124792,79.95012479
1000022500,99.25280548,79.92528055
1000030000,99.00498337,79.90049834
1000037500,98.75778005,79.875778
1000045000,98.51119396,79.8511194
1000052500,98.26522357,79.82652236
1000060000,98.01986733,79.80198673
1000067500,97.77512372,79.77751237
1000075000,97.5309912,79.75309912
1000082500,97.28746826,79.72874683
1000090000,97.04455335,79.70445534
1000097500,96.80224498,79.6802245
1000105000,96.56054163,79.65605416
1000112500,96.31944177,79.63194418
1000120000,96.07894392,79.60789439
1000127500,95.83904655,79.58390466
1000135000,95.59974818,79.55997482
1000142500,95.36104731,79.53610473
1000150000,95.12294245,79.51229425
1000157500,94.88543211,79.48854321
1000165000,94.6485148,79.46485148
1000172500,94.41218904,79.4412189
1000180000,94.17645336,79.41764534
1000187500,93.94130628,79.39413063
1000195000,93.70674634,79.37067463
1000202500,93.47277206,79.34727721
1000210000,93.23938199,79.3239382
1000217500,93.00657467,79.30065747
1000225000,92.77434863,79.27743486
1000232500,92.54270244,79.25427024
1000240000,92.31163464,79.23116346
1000247500,92.08114379,79.20811438
1000255000,91.85122844,79.18512284
1000262500,91.62188717,79.16218872
1000270000,91.39311853,79.13931185
1000277500,91.1649211,79.11649211
1000285000,90.93729345,79.09372934
1000292500,90.71023416,79.07102342
1000300000,90.4837418,79.04837418
1000307500,90.25781498,79.0257815
1000315000,90.03245226,79.00324523
1000322500,89.80765225,78.98076522
1000330000,89.58341353,78.95834135
1000337500,89.35973471,78.93597347
1000345000,89.13661439,78.91366144
1000352500,88.91405117,78.89140512
1000360000,88.69204367,78.86920437
1000367500,88.47059049,78.84705905
1000375000,88.24969026,78.82496903
1000382500,88.02934158,78.80293416
1000390000,87.80954309,78.78095431
1000397500,87.59029341,78.75902934
1000405000,87.37159117,78.73715912
1000412500,87.153435,78.7153435
1000420000,86.93582354,78.69358235
1000427500,86.71875543,78.67187554
1000435000,86.50222931,78.65022293
1000442500,86.28624383,78.62862438
1000450000,86.07079764,78.60707976
1000457500,85.8558894,78.58558894
1000465000,85.64151775,78.56415177
1000472500,85.42768136,78.54276814
1000480000,85.2143789,78.52143789
1000487500,85.00160902,78.5001609
1000495000,84.78937041,78.47893704
1000502500,84.57766173,78.45776617
1000510000,84.36648166,78.43664817
1000517500,84.15582888,78.41558289
1000525000,83.94570208,78.39457021
1000532500,83.73609993,78.37360999
1000540000,83.52702114,78.35270211
1000547500,83.31846439,78.33184644
1000555000,83.11042839,78.31104284
1000562500,82.90291182,78.29029118
1000570000,82.69591339,78.26959134
1000577500,82.48943182,78.24894318
1000585000,82.28346581,78.22834658
1000592500,82.07801406,78.20780141
1000600000,81.87307531,78.18730753
1000607500,81.66864826,78.16686483
1000615000,81.46473164,78.14647316
1000622500,81.26132418,78.12613242
1000630000,81.0584246,78.10584246
1000637500,80.85603163,78.08560316
1000645000,80.65414402,78.0654144
1000652500,80.45276049,78.04527605
1000660000,80.2518798,78.02518798
1000667500,80.05150068,78.00515007
1000675000,79.85162188,77.98516219
1000682500,79.65224215,77.96522421
1000690000,79.45336025,77.94533603
1000697500,79.25497493,77.92549749
1000705000,79.05708496,77.9057085
1000712500,78.8596891,77.88596891
1000720000,78.66278611,77.86627861
1000727500,78.46637476,77.84663748
1000735000,78.27045382,77.82704538
