Time,Amplitude,Frequency
0,100.0,110.0
10000,99.5,109.95
20000,99.0,109.9
30000,98.5,109.85
40000,98.0,109.8
50000,97.5,109.75
60000,97.0,109.7
70000,96.5,109.65
80000,96.0,109.6
90000,95.5,109.55
100000,95.0,109.5
110000,94.5,109.45
120000,94.0,109.4
130000,93.5,109.35
140000,93.0,109.3
150000,92.5,109.25
160000,92.0,109.2
170000,91.5,109.15
180000,91.0,109.1
190000,90.5,109.05
200000,90.0,109.0
210000,89.5,108.95
220000,89.0,108.9
230000,88.5,108.85
240000,88.0,108.8
250000,87.5,108.75
260000,87.0,108.7
270000,86.5,108.65
280000,86.0,108.6
290000,85.5,108.55
300000,85.0,108.5
310000,84.5,108.45
320000,84.0,108.4
330000,83.5,108.35
340000,83.0,108.3
350000,82.5,108.25
360000,82.0,108.2
370000,81.5,108.15
380000,81.0,108.1
390000,80.5,108.05
400000,80.0,108.0
410000,79.5,107.95
420000,79.0,107.9
430000,78.5,107.85
440000,78.0,107.8
450000,77.5,107.75
460000,77.0,107.7
470000,76.5,107.65
480000,76.0,107.6
490000,75.5,107.55
500000,75.0,107.5
510000,74.5,107.45
520000,74.0,107.4
530000,73.5,107.35
540000,73.0,107.3
550000,72.5,107.25
560000,72.0,107.2
570000,71.5,107.15
580000,71.0,107.1
590000,70.5,107.05
600000,70.0,107.0
610000,69.5,106.95
620000,69.0,106.9
630000,68.5,106.85
640000,68.0,106.8
650000,67.5,106.75
660000,67.0,106.7
670000,66.5,106.65
680000,66.0,106.6
690000,65.5,106.55
700000,65.0,106.5
710000,64.5,106.45
720000,64.0,106.4
730000,63.5,106.35
740000,63.0,106.3
750000,62.5,106.25
760000,62.0,106.2
770000,61.5,106.15
780000,61.0,106.1
790000,60.5,106.05
800000,60.0,106.0
810000,59.5,105.95
820000,59.0,105.9
830000,58.5,105.85
840000,58.0,105.8
850000,57.5,105.75
860000,57.0,105.7
870000,56.5,105.65
880000,56.0,105.6
890000,55.5,105.55
900000,55.0,105.5
910000,54.5,105.45
920000,54.0,105.4
930000,53.5,105.35
940000,53.0,105.3
950000,52.5,105.25
960000,52.0,105.2
970000,51.5,105.15
980000,51.0,105.1
989999,50.5,105.05
1000000,50.0,105.0
1010000,49.5,104.95
1020000,49.0,104.9
1030000,48.5,104.85
1040000,48.0,104.8
1050000,47.5,104.75
1060000,47.0,104.7
1070000,46.5,104.65
1080000,46.0,104.6
1090000,45.5,104.55
1100000,45.0,104.5
1110000,44.5,104.45
1120000,44.0,104.4
1130000,43.5,104.35
1140000,43.0,104.3
1150000,42.5,104.25
1160000,42.0,104.2
1170000,41.5,104.15
1180000,41.0,104.1
1190000,40.5,104.05
1200000,40.0,104.0
1210000,39.5,103.95
1220000,39.0,103.9
1230000,38.5,103.85
1240000,38.0,103.8
1250000,37.5,103.75
1260000,37.0,103.7
1270000,36.5,103.65
1280000,36.0,103.6
1290000,35.5,103.55
1300000,35.0,103.5
1310000,34.5,103.45
1320000,34.0,103.4
1330000,33.5,103.35
1340000,33.0,103.3
1350000,32.5,103.25
1360000,32.0,103.2
1370000,31.5,103.15
1380000,31.0,103.1
1390000,30.5,103.05
1400000,30.0,103.0
1410000,29.5,102.95
1420000,29.0,102.9
1430000,28.5,102.85
1440000,28.0,102.8
1450000,27.5,102.75
1460000,27.0,102.7
1470000,26.5,102.65
1480000,26.0,102.6
1490000,25.5,102.55
1500000,25.0,102.5
1510000,24.5,102.45
1520000,24.0,102.4
1530000,23.5,102.35
1540000,23.0,102.3
1550000,22.5,102.25
1560000,22.0,102.2
1570000,21.5,102.15
1580000,21.0,102.1
1590000,20.5,102.05
1600000,20.0,102.0
1610000,19.5,101.95
1620000,19.0,101.9
1630000,18.5,101.85
1640000,18.0,101.8
1650000,17.5,101.75
1660000,17.0,101.7
1670000,16.5,101.65
1680000,16.0,101.6
1690000,15.5,101.55
1700000,15.0,101.5
1710000,14.5,101.45
1720000,14.0,101.4
1730000,13.5,101.35
1740000,13.0,101.3
1750000,12.5,101.25
1760000,12.0,101.2
1770000,11.5,101.15
1780000,11.0,101.1
1790000,10.5,101.05
1800000,10.0,101.0
1810000,9.5,100.95
1820000,9.0,100.9
1830000,8.5,100.85
1840000,8.0,100.8
1850000,7.5,100.75
1860000,7.0,100.7
1870000,6.5,100.65
1880000,6.0,100.6
1890000,5.5,100.55
1900000,5.0,100.5
1910000,4.5,100.45
1920000,4.0,100.4
1930000,3.5,100.35
1940000,3.0,100.3
1950000,2.5,100.25
1960000,2.0,100.2
1969999,1.5,100.15
1979999,1.0,100.1
1990000,0.5,100.05
2000000,0.0,100.0
10000000,100.0,100.0
10010000,,100.01428571428572
10019999,,100.02857142857142
10029999,,100.04285714285714
10039999,,100.05714285714286
10049999,,100.07142857142857
10059999,,100.08571428571429
10069999,,100.1
10079999,,100.11428571428571
10089999,,100.12857142857143
10099999,,100.14285714285714
10109999,,100.15714285714286
10119999,,100.17142857142858
10129999,,100.18571428571428
10139999,,100.2
10149999,,100.21428571428571
10159999,,100.22857142857143
10169999,,100.24285714285715
10179999,,100.25714285714285
10189999,,100.27142857142857
10199999,,100.28571428571429
10209999,,100.3
10219999,,100.31428571428572
10229999,,100.32857142857142
10239999,,100.34285714285714
10249999,,100.35714285714286
10259999,,100.37142857142857
10269999,,100.38571428571429
10279999,,100.4
10289999,,100.41428571428571
10299999,,100.42857142857143
10309999,,100.44285714285714
10319999,,100.45714285714286
10329999,,100.47142857142858
10339999,,100.48571428571428
10349999,,100.5
10359999,,100.51428571428572
10369999,,100.52857142857142
10379999,,100.54285714285714
10389999,,100.55714285714286
10399999,,100.57142857142857
10409999,,100.58571428571429
10419999,,100.6
10429999,,100.61428571428571
10439999,,100.62857142857143
10449999,,100.64285714285714
10459999,,100.65714285714286
10469999,,100.67142857142858
10479999,,100.68571428571428
10489999,,100.7
10499999,,100.71428571428571
10509999,,100.72857142857143
10519999,,100.74285714285715
10529999,,100.75714285714285
10539999,,100.77142857142857
10549999,,100.78571428571429
10559999,,100.8
