Time,Amplitude,Frequency
0,90.0,110.0
1000000000,90.0,110.0
1000007500,89.77528102,109.9001249
1000015000,89.55112313,109.80049917
1000022500,89.32752493,109.70112219
1000030000,89.10448504,109.60199335
1000037500,88.88200204,109.50311202
1000045000,88.66007456,109.40447758
1000052500,88.43870121,109.30608943
1000060000,88.2178806,109.20794693
1000067500,87.99761135,109.11004949
1000075000,87.77789208,109.01239648
1000082500,87.55872143,108.9149873
1000090000,87.34009802,108.81782134
1000097500,87.12202048,108.72089799
1000105000,86.90448746,108.62421665
1000112500,86.68749759,108.52777671
1000120000,86.47104952,108.43157757
1000127500,86.2551419,108.33561862
1000135000,86.03977336,108.23989927
1000142500,85.82494258,108.14441893
1000150000,85.61064821,108.04917698
1000157500,85.3968889,107.95417284
1000165000,85.18366332,107.85940592
1000172500,84.97097013,107.76487562
1000180000,84.75880802,107.67058134
1000187500,84.54717565,107.57652251
1000195000,84.3360717,107.48269854
1000202500,84.12549486,107.38910882
1000210000,83.91544379,107.2957528
1000217500,83.7059172,107.20262987
1000225000,83.49691377,107.10973945
1000232500,83.2884322,107.01708098
1000240000,83.08047117,106.92465386
1000247500,82.87302941,106.83245751
1000255000,82.6661056,106.74049138
1000262500,82.45969845,106.64875487
1000270000,82.25380667,106.55724741
1000277500,82.04842899,106.46596844
1000285000,81.8435641,106.37491738
1000292500,81.63921074,106.28409366
1000300000,81.43536762,106.19349672
1000307500,81.23203348,106.10312599
1000315000,81.02920703,106.0129809
1000322500,80.82688702,105.9230609
1000330000,80.62507218,105.83336541
1000337500,80.42376124,105.74389388
1000345000,80.22295295,105.65464576
1000352500,80.02264606,105.56562047
1000360000,79.8228393,105.47681747
1000367500,79.62353144,105.3882362
1000375000,79.42472123,105.2998761
1000382500,79.22640743,105.21173663
1000390000,79.02858878,105.12381724
1000397500,78.83126407,105.03611736
1000405000,78.63443205,104.94863647
1000412500,78.4380915,104.861374
1000420000,78.24224119,104.77432942
1000427500,78.04687989,104.68750217
1000435000,77.85200638,104.60089172
1000442500,77.65761945,104.51449753
1000450000,77.46371788,104.42831906
1000457500,77.27030046,104.34235576
1000465000,77.07736597,104.2566071
1000472500,76.88491322,104.17107254
1000480000,76.69294101,104.08575156
1000487500,76.50144812,104.00064361
1000495000,76.31043337,103.91574816
1000502500,76.11989556,103.83106469
1000510000,75.92983349,103.74659266
1000517500,75.74024599,103.66233155
1000525000,75.55113187,103.57828083
1000532500,75.36248994,103.49443997
1000540000,75.17431903,103.41080846
1000547500,74.98661795,103.32738576
1000555000,74.79938555,103.24417135
1000562500,74.61262064,103.16116473
1000570000,74.42632205,103.07836536
1000577500,74.24048864,102.99577273
1000585000,74.05511923,102.91338632
1000592500,73.87021266,102.83120563
1000600000,73.68576778,102.74923012
1000607500,73.50178343,102.6674593
1000615000,73.31825848,102.58589266
1000622500,73.13519176,102.50452967
1000630000,72.95258214,102.42336984
1000637500,72.77042847,102.34241265
1000645000,72.58872962,102.26165761
1000652500,72.40748444,102.1811042
1000660000,72.22669182,102.10075192
1000667500,72.04635061,102.02060027
1000675000,71.86645969,101.94064875
1000682500,71.68701793,101.86089686
1000690000,71.50802423,101.7813441
1000697500,71.32947744,101.70198997
1000705000,71.15137647,101.62283399
1000712500,70.97372019,101.54387564
1000720000,70.7965075,101.46511444
1000727500,70.61973728,101.3865499
1000735000,70.44340844,101.30818153
1000742500,70.26751987,101.23000883
1000750000,70.09207048,101.15203132
1000757500,69.91705916,101.07424851
1000765000,69.74248482,100.99665992
1000772500,69.56834637,100.91926505
1000780000,69.39464272,100.84206343
1000787500,69.22137279,100.76505457
1000795000,69.0485355,100.688238
1000802500,68.87612976,100.61161322
1000810000,68.70415449,100.53517977
1000817500,68.53260863,100.45893717
1000825000,68.36149109,100.38288493
1000832500,68.19080081,100.30702258
1000840000,68.02053673,100.23134966
1000847500,67.85069778,100.15586568
1000855000,67.68128289,100.08057017
1000862500,67.51229101,100.00546267
1000870000,67.34372108,99.9305427
1000877500,67.17557205,99.8558098
1000885000,67.00784287,99.7812635
1000892500,66.84053249,99.70690333
1000900000,66.67363986,99.63272883
1000907500,66.50716394,99.55873953
1000915000,66.3411037,99.48493498
1000922500,66.17545808,99.4113147
1000930000,66.01022606,99.33787825
1000937500,65.84540661,99.26462516
1000945000,65.68099868,99.19155497
1000952500,65.51700127,99.11866723
1000960000,65.35341334,99.04596148
1000967500,65.19023386,98.97343727
1000975000,65.02746183,98.90109415
1000982500,64.86509621,98.82893165
1000990000,64.70313601,98.75694934
1000997500,64.5415802,98.68514675
1001005000,64.38042777,98.61352345
1001012500,64.21967772,98.54207899
1001020000,64.05932905,98.47081291
1001027500,63.89938074,98.39972478
1001035000,63.73983181,98.32881414
1001042500,63.58068125,98.25808056
1001050000,63.42192807,98.18752359
1001057500,63.26357128,98.11714279
1001065000,63.10560989,98.04693773
1001072500,62.9480429,97.97690796
1001080000,62.79086935,97.90705304
1001087500,62.63408823,97.83737255
1001095000,62.47769858,97.76786604
1001102500,62.32169941,97.69853307
1001110000,62.16608976,97.62937323
1001117500,62.01086864,97.56038606
1001125000,61.85603509,97.49157115
1001132500,61.70158814,97.42292806
1001140000,61.54752683,97.35445637
1001147500,61.39385019,97.28615564
1001155000,61.24055726,97.21802545
1001162500,61.08764708,97.15006537
1001170000,60.9351187,97.08227498
1001177500,60.78297117,97.01465385
1001185000,60.63120353,96.94720157
1001192500,60.47981484,96.87991771
1001200000,60.32880414,96.81280184
1001207500,60.1781705,96.74585356
1001215000,60.02791298,96.67907243
1001222500,59.87803063,96.61245806
1001230000,59.72852251,96.54601001
1001237500,59.5793877,96.47972787
1001245000,59.43062526,96.41361123
1001252500,59.28223427,96.34765967
1001260000,59.13421378,96.28187279
1001267500,58.98656289,96.21625017
1001275000,58.83928066,96.15079141
1001282500,58.69236618,96.08549608
1001290000,58.54581853,96.02036379
1001297500,58.39963678,95.95539413
1001305000,58.25382004,95.89058668
1001312500,58.10836738,95.82594106
1001320000,57.9632779,95.76145684
1001327500,57.81855069,95.69713364
1001335000,57.67418484,95.63297104
1001342500,57.53017946,95.56896865
1001350000,57.38653365,95.50512606
1001357500,57.2432465,95.44144289
1001365000,57.10031712,95.37791872
1001372500,56.95774461,95.31455316
1001380000,56.8155281,95.25134582
1001387500,56.67366668,95.1882963
1001395000,56.53215947,95.12540421
1001402500,56.39100558,95.06266915
1001410000,56.25020415,95.00009073
1001417500,56.10975427,94.93766856
1001425000,55.96965508,94.87540226
1001432500,55.8299057,94.81329142
1001440000,55.69050526,94.75133567
1001447500,55.55145289,94.68953462
1001455000,55.41274771,94.62788787
1001462500,55.27438886,94.56639505
1001470000,55.13637548,94.50505577
1001477500,54.9987067,94.44386964
1001485000,54.86138166,94.38283629
1001492500,54.7243995,94.32195533
1001500000,54.58775937,94.26122639
1001507500,54.45146042,94.20064908
1001515000,54.31550179,94.14022302
1001522500,54.17988263,94.07994783
1001530000,54.04460209,94.01982315
1001537500,53.90965934,93.95984859
1001545000,53.77505352,93.90002378
1001552500,53.64078379,93.84034835
1001560000,53.50684932,93.78082192
1001567500,53.37324926,93.72144412
1001575000,53.23998279,93.66221457
1001582500,53.10704907,93.60313292
1001590000,52.97444727,93.54419879
1001597500,52.84217656,93.4854118
1001605000,52.71023611,93.42677161
1001612500,52.57862511,93.36827782
1001620000,52.44734271,93.30993009
1001627500,52.31638812,93.25172805
1001635000,52.1857605,93.19367133
1001642500,52.05545904,93.13575958
1001650000,51.92548293,93.07799242
1001657500,51.79583136,93.02036949
1001665000,51.66650351,92.96289045
1001672500,51.53749857,92.90555492
1001680000,51.40881575,92.84836255
1001687500,51.28045423,92.79131299
1001695000,51.15241321,92.73440587
1001702500,51.02469189,92.67764084
1001710000,50.89728948,92.62101755
1001717500,50.77020518,92.56453564
1001725000,50.64343819,92.50819475
1001732500,50.51698773,92.45199454
1001740000,50.39085299,92.39593466
1001747500,50.2650332,92.34001475
1001755000,50.13952756,92.28423447
1001762500,50.0143353,92.22859347
1001770000,49.88945563,92.17309139
1001777500,49.76488776,92.11772789
1001785000,49.64063093,92.06250263
1001792500,49.51668435,92.00741527
1001800000,49.39304725,91.95246544
1001807500,49.26971886,91.89765282
1001815000,49.1466984,91.84297707
1001822500,49.02398511,91.78843783
1001830000,48.90157822,91.73403476
1001837500,48.77947696,91.67976754
1001845000,48.65768058,91.62563581
1001852500,48.53618831,91.57163925
1001860000,48.41499938,91.5177775
1001867500,48.29411306,91.46405025
1001875000,48.17352857,91.41045714
1001882500,48.05324516,91.35699785
1001890000,47.93326209,91.30367204
1001897500,47.8135786,91.25047938
1001905000,47.69419395,91.19741953
1001912500,47.57510738,91.14449217
1001920000,47.45631816,91.09169696
1001927500,47.33782555,91.03903358
